fetched_at_utc,pmcid,version,pmid,title,license_code,is_manuscript,is_openaccess,journal,local_dir,objects
2026-09-09T11:05:19Z,PMC10259789,1,37307256,Self-management of type 2 diabetes mellitus in pregnancy and breastfeeding experiences among women in Thailand: Study protocol,CC0,False,True,PLoS One. 2023 Jun 12;18(6):e0286646. doi: 10.1371/journal.pone.0286646,D:\medical_rag\data\pmc_oa\PMC10259789.1,"txt(71424B,md5=ok);json(1870B)"
2026-09-09T11:05:22Z,PMC11575783,1,39561140,Genomic variants associated with type 2 diabetes mellitus among Filipinos,CC BY,False,True,PLoS One. 2024 Nov 19;19(11):e0312291. doi: 10.1371/journal.pone.0312291,D:\medical_rag\data\pmc_oa\PMC11575783.1,"txt(59771B,md5=ok);json(1919B)"
2026-09-15T08:10:35Z,PMC6287897,1,29950404,Incidence of Hospitalization for Heart Failure and Case-Fatality Among 3.25 Million People With and Without Diabetes Mellitus,CC BY,False,True,Circulation. 2018 Dec 10;138(24):2774–86. doi: 10.1161/CIRCULATIONAHA.118.034986,D:\medical_rag\data\pmc_oa\PMC6287897.1,txt(54621B);json(1864B)
2026-09-15T08:10:35Z,PMC6594608,1,31242249,Oral extracellular vesicles in early pregnancy can identify patients at risk of developing gestational diabetes mellitus,CC0,False,True,PLoS One. 2019 Jun 26;14(6):e0218616. doi: 10.1371/journal.pone.0218616,D:\medical_rag\data\pmc_oa\PMC6594608.1,txt(44350B);json(1336B)
2026-09-15T08:10:35Z,PMC12017104,1,40303241,"Incidence Trends of Type 2 Diabetes Mellitus, Medication-Induced Diabetes, and Monogenic Diabetes in Canadian Children, Then (2006–2008) and Now (2017–2019)",CC BY,False,True,Pediatr Diabetes. 2023 Nov 14;2023:5511049. doi: 10.1155/2023/5511049,D:\medical_rag\data\pmc_oa\PMC12017104.1,txt(53310B);json(966B)
2026-09-15T08:10:35Z,PMC5079314,1,27759630,Risk of hospitalization for hypoglycemia among older Korean people with diabetes mellitus: Interactions between treatment modalities and comorbidities,CC BY-ND,False,True,Medicine (Baltimore). 2016 Oct 21;95(42):e5016. doi: 10.1097/MD.0000000000005016,D:\medical_rag\data\pmc_oa\PMC5079314.1,txt(39674B);json(1690B)
2026-09-15T08:10:38Z,PMC7436637,1,32874422,Imminent risk of COVID-19 in diabetes mellitus and undiagnosed diabetes mellitus patients,CC BY,False,True,Pan Afr Med J. 2020 Jul 6;36:158. doi: 10.11604/pamj.2020.36.158.24011,D:\medical_rag\data\pmc_oa\PMC7436637.1,txt(17095B);json(780B)
2026-09-15T08:10:38Z,PMC11460644,1,39383393,Investigation of serum Metrnl levels in pregnant women with gestational diabetes mellitus: a prospective non-interventional cohort study,CC BY,False,True,Rev Assoc Med Bras (1992). 2024 Oct 7;70(10):e20240660. doi: 10.1590/1806-9282.20240660,D:\medical_rag\data\pmc_oa\PMC11460644.1,txt(30008B);json(990B)
2026-09-15T08:10:38Z,PMC5023915,1,27603392,Increased GABA concentrations in type 2 diabetes mellitus are related to lower cognitive functioning,CC BY-ND,False,True,Medicine (Baltimore). 2016 Sep 9;95(36):e4803. doi: 10.1097/MD.0000000000004803,D:\medical_rag\data\pmc_oa\PMC5023915.1,txt(34935B);json(1231B)
2026-09-15T08:10:38Z,PMC4670225,1,26636324,Quality and Cost of Diabetes Mellitus Care in Community Health Centers in the United States,CC0,False,True,PLoS One. 2015 Dec 4;10(12):e0144075. doi: 10.1371/journal.pone.0144075,D:\medical_rag\data\pmc_oa\PMC4670225.1,txt(34374B);json(1105B)
2026-09-15T08:10:41Z,PMC3975839,1,24597539,Acute large-dose exposure to organophosphates in patients with and without diabetes mellitus: analysis of mortality rate and new-onset diabetes mellitus,CC BY,False,True,Environ Health. 2014 Mar 6;13:11. doi: 10.1186/1476-069X-13-11,D:\medical_rag\data\pmc_oa\PMC3975839.1,txt(36229B);json(827B)
2026-09-15T08:10:41Z,PMC8430558,1,34501613,Self-Reported Diabetes Mellitus and Tooth Extraction Due to Periodontal Disease and Dental Caries in the Japanese Population,CC BY,False,True,Int J Environ Res Public Health. 2021 Aug 27;18(17):9024. doi: 10.3390/ijerph18179024,D:\medical_rag\data\pmc_oa\PMC8430558.1,txt(30032B);json(949B)
2026-09-15T08:10:41Z,PMC11594033,1,39595804,"Prevalence and Determinants of Household Self-Reported Diabetes Mellitus in Gauteng, South Africa",CC BY,False,True,Int J Environ Res Public Health. 2024 Nov 20;21(11):1537. doi: 10.3390/ijerph21111537,D:\medical_rag\data\pmc_oa\PMC11594033.1,txt(46362B);json(930B)
2026-09-15T08:10:41Z,PMC12482903,1,40865110,A meta-analysis about the relationship of serum nesfatin-1 levels in patients with type 2 diabetes mellitus,CC BY,False,True,Biomedica. 2025 Aug 11;45(3):436–45. [Article in Spanish] doi: 10.7705/biomedica.7708,D:\medical_rag\data\pmc_oa\PMC12482903.1,txt(33511B);json(1063B)
2026-09-15T08:10:44Z,PMC5207554,1,28033258,"Impact of disease-management programs on metabolic control in patients with type 1 diabetes mellitus: A cohort study in Shantou, China",CC BY-ND,False,True,Medicine (Baltimore). 2016 Dec 30;95(52):e5681. doi: 10.1097/MD.0000000000005681,D:\medical_rag\data\pmc_oa\PMC5207554.1,txt(35791B);json(1368B)
2026-09-15T08:10:44Z,PMC6875401,1,31781641,Diabetes Mellitus among Adult Tuberculosis Patients Attending Tuberculosis Clinics in Eastern Ethiopia,CC BY,False,True,Biomed Res Int. 2019 Nov 6;2019:7640836. doi: 10.1155/2019/7640836,D:\medical_rag\data\pmc_oa\PMC6875401.1,txt(31360B);json(906B)
2026-09-15T08:10:45Z,PMC10768552,1,38188887,Prevalence of gestational diabetes mellitus and associated factors among women receiving antenatal care at a tertiary hospital in South-Western Uganda,CC BY,False,True,Pan Afr Med J. 2023 Oct 4;46:50. doi: 10.11604/pamj.2023.46.50.38355,D:\medical_rag\data\pmc_oa\PMC10768552.1,txt(33545B);json(969B)
2026-09-15T08:10:45Z,PMC7913410,1,33639846,The clinical profiles and outcomes of HIV-negative cryptococcal meningitis patients in type II diabetes mellitus,CC BY,False,True,BMC Infect Dis. 2021 Feb 27;21:224. doi: 10.1186/s12879-021-05867-5,D:\medical_rag\data\pmc_oa\PMC7913410.1,txt(34708B);json(795B)
2026-09-15T08:10:47Z,PMC5571721,1,28816984,"Age threshold for moderate and severe periodontitis among Korean adults without diabetes mellitus, hypertension, metabolic syndrome, and/or obesity",CC BY-ND,False,True,Medicine (Baltimore). 2017 Aug 18;96(33):e7835. doi: 10.1097/MD.0000000000007835,D:\medical_rag\data\pmc_oa\PMC5571721.1,txt(27748B);json(1382B)
2026-09-15T08:10:47Z,PMC13224957,1,42233866,Diabetes mellitus with inadequate blood sugar control increases mortality in Brazilian older adults: evidence from ELSI-Brazil,CC BY,False,True,Cad Saude Publica. 2026 May 29;42:e00163525. [Article in Portuguese] doi: 10.1590/0102-311XPT163525,D:\medical_rag\data\pmc_oa\PMC13224957.1,txt(56780B);json(1099B)
2026-09-15T08:10:48Z,PMC9055740,1,35488240,The incidence of gestational diabetes mellitus among women with polycystic ovary syndrome: a meta-analysis of longitudinal studies,CC BY,False,True,BMC Pregnancy Childbirth. 2022 Apr 29;22:370. doi: 10.1186/s12884-022-04690-3,D:\medical_rag\data\pmc_oa\PMC9055740.1,txt(54544B);json(1284B)
2026-09-15T08:10:48Z,PMC6903756,1,31821362,Omentin-1 in diabetes mellitus: A systematic review and meta-analysis,CC BY,False,True,PLoS One. 2019 Dec 10;14(12):e0226292. doi: 10.1371/journal.pone.0226292,D:\medical_rag\data\pmc_oa\PMC6903756.1,txt(54405B);json(1794B)
2026-09-15T08:10:50Z,PMC3607605,1,23536904,"Increasing Trends of Diabetes Mellitus and Body Weight: A Ten Year Observation at Gondar University Teaching Referral Hospital, Northwest Ethiopia",CC BY,False,True,PLoS One. 2013 Mar 25;8(3):e60081. doi: 10.1371/journal.pone.0060081,D:\medical_rag\data\pmc_oa\PMC3607605.1,txt(19015B);json(1159B)
2026-09-15T08:10:51Z,PMC3599954,1,23497232,Overt diabetes mellitus among newly diagnosed Ugandan tuberculosis patients: a cross sectional study,CC BY,False,True,BMC Infect Dis. 2013 Mar 5;13:122. doi: 10.1186/1471-2334-13-122,D:\medical_rag\data\pmc_oa\PMC3599954.1,txt(32844B);json(778B)
2026-09-15T08:10:51Z,PMC10924502,1,38410015,Diabetes Mellitus among Patients with Acute Ischemic Stroke Admitted to the Department of Medicine in a Tertiary Care Centre,CC BY,False,True,JNMA J Nepal Med Assoc. 2024 Jan 31;62(269):17–20. doi: 10.31729/jnma.8394,D:\medical_rag\data\pmc_oa\PMC10924502.1,txt(14758B);json(815B)
2026-09-15T08:10:51Z,PMC11765393,1,39859258,Associations Between Diabetes Mellitus and Neurodegenerative Diseases,CC BY,False,True,Int J Mol Sci. 2025 Jan 10;26(2):542. doi: 10.3390/ijms26020542,D:\medical_rag\data\pmc_oa\PMC11765393.1,txt(228926B);json(979B)
2026-09-15T08:10:54Z,PMC11112893,1,38778408,A comparison of oral bacteriome isolated from periodontal pockets of participants with or without diabetes mellitus in Uganda: a case control study,CC BY,False,True,BMC Res Notes. 2024 May 22;17:146. doi: 10.1186/s13104-024-06804-w,D:\medical_rag\data\pmc_oa\PMC11112893.1,txt(33891B);json(1190B)
2026-09-15T08:10:56Z,PMC11059984,1,39128051,Resveratrol Has Histone 4 and Beta-Defensin 1-Mediated Favorable Biotherapeutic Effects on Liver and Other Target Organs in Diabetic Rats,CC BY,False,True,Turk J Gastroenterol. 2024 Mar 1;35(3):223–31. doi: 10.5152/tjg.2024.23068,D:\medical_rag\data\pmc_oa\PMC11059984.1,txt(39978B);json(1558B)
2026-09-15T08:10:56Z,PMC13481201,1,42614200,Chronic obstructive pulmonary disease and diabetes mellitus: a bidirectional meta-analysis of risk and comorbidity burden,CC BY,False,True,Front Endocrinol (Lausanne). 2026 Aug 4;17:1912659. doi: 10.3389/fendo.2026.1912659,D:\medical_rag\data\pmc_oa\PMC13481201.1,txt(88665B);json(3272B)
2026-09-15T08:10:56Z,PMC7065699,1,32190364,Association between Bioactive Molecules in Breast Milk and Type 1 Diabetes Mellitus,CC BY-ND,False,True,Sultan Qaboos Univ Med J. 2020 Mar 9;20(1):e5–e12. doi: 10.18295/squmj.2020.20.01.002,D:\medical_rag\data\pmc_oa\PMC7065699.1,txt(41392B);json(792B)
2026-09-15T08:10:59Z,PMC5609608,1,28767910,Heart rate variability based on risk stratification for type 2 diabetes mellitus,CC BY,False,True,Einstein (Sao Paulo). 2017 Apr-Jun;15(2):141–7. doi: 10.1590/S1679-45082017AO3888,D:\medical_rag\data\pmc_oa\PMC5609608.1,txt(33662B);json(781B)
2026-09-15T08:10:59Z,PMC7098606,1,32214398,"Knowledge and associated factors towards diabetes mellitus among adult non-diabetic community members of Gondar city, Ethiopia 2019",CC BY,False,True,PLoS One. 2020 Mar 26;15(3):e0230880. doi: 10.1371/journal.pone.0230880,D:\medical_rag\data\pmc_oa\PMC7098606.1,txt(35250B);json(1553B)
2026-09-15T08:10:59Z,PMC9420096,1,35672599,A stronger association of diabetes mellitus with impaired hyperaemia using a novel ECG-gated device compared with peripheral arterial tonometry,CC BY,False,True,Int Ophthalmol. 2022 Jun 7;42(9):2855–69. doi: 10.1007/s10792-022-02276-8,D:\medical_rag\data\pmc_oa\PMC9420096.1,txt(49013B);json(1623B)
2026-09-15T08:11:02Z,PMC4818501,1,27036979,Mitochondrial DNA damage and vascular function in patients with diabetes mellitus and atherosclerotic cardiovascular disease,CC BY,False,True,Cardiovasc Diabetol. 2016 Mar 31;15:53. doi: 10.1186/s12933-016-0372-y,D:\medical_rag\data\pmc_oa\PMC4818501.1,txt(36584B);json(941B)
2026-09-15T08:11:02Z,PMC6998275,1,32013909,Effects of gestational diabetes mellitus on risk of adverse maternal outcomes: a prospective cohort study in Northwest Ethiopia,CC BY,False,True,BMC Pregnancy Childbirth. 2020 Feb 3;20:73. doi: 10.1186/s12884-020-2759-8,D:\medical_rag\data\pmc_oa\PMC6998275.1,txt(64055B);json(1169B)
2026-09-15T08:11:02Z,PMC11908747,1,40105573,Cutaneous manifestations of diabetes mellitus: a narrative review,CC BY,False,True,Einstein (Sao Paulo). 2025 Mar 10;23:eRW1193. doi: 10.31744/einstein_journal/2025RW1193,D:\medical_rag\data\pmc_oa\PMC11908747.1,txt(51876B);json(1269B)
2026-09-15T08:11:03Z,PMC8484170,1,34156521,Ten-year clinical outcomes of polymer-free versus durable polymer new-generation drug-eluting stent in patients with coronary artery disease with and without diabetes mellitus: Results of the Intracor,CC BY,False,True,Clin Res Cardiol. 2021 Jun 22;110(10):1586–98. doi: 10.1007/s00392-021-01854-7,D:\medical_rag\data\pmc_oa\PMC8484170.1,txt(48714B);json(1804B)
2026-09-15T08:11:05Z,PMC3713042,1,23874667,Assessment of the Magnitude of Contextual and Individual Demographic Effects on Diabetes Mellitus and Glucose Intolerance in Rural Southwest China: A Multilevel Analysis,CC BY,False,True,PLoS One. 2013 Jul 16;8(7):e68553. doi: 10.1371/journal.pone.0068553,D:\medical_rag\data\pmc_oa\PMC3713042.1,txt(42420B);json(1283B)
2026-09-15T08:11:05Z,PMC7222568,1,32404127,Impact of type 2 diabetes mellitus on mid-term mortality for hypertrophic cardiomyopathy patients who underwent septal myectomy,CC BY,False,True,Cardiovasc Diabetol. 2020 May 13;19:64. doi: 10.1186/s12933-020-01036-1,D:\medical_rag\data\pmc_oa\PMC7222568.1,txt(39441B);json(1388B)
2026-09-15T08:11:06Z,PMC8375146,1,34407812,Association of sex-specific differences in lipoprotein(a) concentrations with cardiovascular mortality in individuals with type 2 diabetes mellitus,CC BY,False,True,Cardiovasc Diabetol. 2021 Aug 18;20:168. doi: 10.1186/s12933-021-01363-x,D:\medical_rag\data\pmc_oa\PMC8375146.1,txt(58643B);json(1187B)
2026-09-15T08:11:06Z,PMC10542184,1,37790852,U-shaped association between triglyceride and risk of incident diabetes in normoglycemic males with NAFLD: A population-base cohort study,CC BY,False,True,Int J Med Sci. 2023 Sep 4;20(11):1417–24. doi: 10.7150/ijms.83371,D:\medical_rag\data\pmc_oa\PMC10542184.1,txt(44612B);json(944B)
2026-09-15T08:11:08Z,PMC8688487,1,34931004,Undiagnosed diabetes mellitus and associated factors among adults in Ethiopia: a systematic review and meta-analysis,CC BY,False,True,Sci Rep. 2021 Dec 20;11:24231. doi: 10.1038/s41598-021-03669-y,D:\medical_rag\data\pmc_oa\PMC8688487.1,txt(37337B);json(1472B)
2026-09-15T08:11:08Z,PMC11075875,1,38713690,"Prevalence of undiagnosed diabetes mellitus and associated factors among adult residents of Mizan Aman town, Southwest Ethiopia: Community-based cross-sectional study",CC BY,False,True,PLoS One. 2024 May 7;19(5):e0302167. doi: 10.1371/journal.pone.0302167,D:\medical_rag\data\pmc_oa\PMC11075875.1,txt(74927B);json(2012B)
2026-09-15T08:11:08Z,PMC8046536,1,33880369,"Prevalence and Risk Factors of Gestational Diabetes Mellitus among Women Attending Antenatal Care in Hadiya Zone Public Hospitals, Southern Nation Nationality People Region",CC BY,False,True,Biomed Res Int. 2021 Apr 5;2021:5564668. doi: 10.1155/2021/5564668,D:\medical_rag\data\pmc_oa\PMC8046536.1,txt(48426B);json(1080B)
2026-09-15T08:11:09Z,PMC4569584,1,26368020,The Association of Handgrip Strength and Type 2 Diabetes Mellitus in Six Ethnic Groups: An Analysis of the HELIUS Study,CC BY,False,True,PLoS One. 2015 Sep 14;10(9):e0137739. doi: 10.1371/journal.pone.0137739,D:\medical_rag\data\pmc_oa\PMC4569584.1,txt(43271B);json(1237B)
2026-09-15T08:11:11Z,PMC8414895,1,34484113,Estimates of Type 2 Diabetes Mellitus Burden Attributable to Particulate Matter Pollution and Its 30-Year Change Patterns: A Systematic Analysis of Data From the Global Burden of Disease Study 2019,CC BY,False,True,Front Endocrinol (Lausanne). 2021 Aug 13;12:689079. doi: 10.3389/fendo.2021.689079,D:\medical_rag\data\pmc_oa\PMC8414895.1,txt(45887B);json(1990B)
2026-09-15T08:11:11Z,PMC5396487,1,28403339,Effective Universal Coverage of Diabetes Mellitus Type 2 in Chile,CC BY,False,True,Rev Lat Am Enfermagem. 2017 Apr 6;25:e2871. doi: 10.1590/1518-8345.1630.2871,D:\medical_rag\data\pmc_oa\PMC5396487.1,txt(34555B);json(758B)
2026-09-15T08:11:11Z,PMC4736777,1,26881245,"Diabetes Mellitus in Outpatients in Debre Berhan Referral Hospital, Ethiopia",CC BY,False,True,J Diabetes Res. 2016 Jan 6;2016:3571368. doi: 10.1155/2016/3571368,D:\medical_rag\data\pmc_oa\PMC4736777.1,txt(28442B);json(982B)
2026-09-15T08:11:12Z,PMC13316862,1,42384970,Relationship between lower urinary system symptoms and urinary incontinence in women with gestational diabetes,CC BY,False,True,Rev Assoc Med Bras (1992). 2026 Jun 26;72(3):e20251467. doi: 10.1590/1806-9282.20251467,D:\medical_rag\data\pmc_oa\PMC13316862.1,txt(31904B);json(820B)
2026-09-15T08:11:14Z,PMC10725226,1,38289738,Diabetes Mellitus among Patients with Non-alcoholic Fatty Liver Disease Visiting the Outpatient Department of Internal Medicine in a Tertiary Care Centre,CC BY,False,True,JNMA J Nepal Med Assoc. 2023 Nov 30;61(267):871–3. doi: 10.31729/jnma.8324,D:\medical_rag\data\pmc_oa\PMC10725226.1,txt(12527B);json(971B)
2026-09-15T08:11:15Z,PMC11711671,1,39652177,Atopic dermatitis and diabetes mellitus—is there a link?,CC BY,False,True,Dermatologie (Heidelb). 2024 Dec 9;76(1):21–6. [Article in German] doi: 10.1007/s00105-024-05440-6,D:\medical_rag\data\pmc_oa\PMC11711671.1,txt(29076B);json(915B)
