pmcid,title,lang,lines_full,chars_core,cjk_chars_core,cjk_ratio,tokens_full,tokens_body,tokens_core,chars_per_token_core,removed_pct,tail_cut,n_paras,para_tok_p50,para_tok_p90,para_tok_max,tab_lines
PMC2808666,Chronic kidney disease and small renal tumors: What urologists should ,en,100,7587,0,0.0,3004,2632,1815,4.18,39.6,True,22,20,256,286,0
PMC10754309,A Rare Pathology Masquerading as Myocardial Infarction,en,75,7390,0,0.0,2608,2184,1833,4.032,29.7,True,12,89,329,682,0
PMC10924494,Ultrasound Guided Biopsy among Patients with Lung Lesions Undergoing P,en,298,7536,0,0.0,2837,2381,1873,4.023,34.0,True,102,4,59,172,62
PMC5815687,Synchronous diffuse large B-cell lymphoma of the stomach and small cel,en,134,7516,0,0.0,3394,2824,1942,3.87,42.8,True,31,33,144,343,0
PMC11392149,Assessment of surgery delay-associated risk in resectable stages I–III,en,151,7913,0,0.0,2990,2408,2039,3.881,31.8,True,33,10,206,285,29
PMC10795236,A rare case: Endobronchial solitary mixed papilloma,en,144,8519,0,0.0,3408,2708,2131,3.998,37.5,True,40,15,178,369,0
PMC8283556,Analysis of Estimated and Measured Glomerular Filtration Rates and the,en,153,7109,0,0.0,4008,2569,2145,3.314,46.5,True,25,83,172,332,12
PMC6392996,Concomitant coronary and pulmonary embolism associated with patent for,en,132,8799,0,0.0,3391,2899,2180,4.036,35.7,True,29,32,188,333,0
PMC10725226,Diabetes Mellitus among Patients with Non-alcoholic Fatty Liver Diseas,en,200,8597,0,0.0,3321,2875,2192,3.922,34.0,True,64,7,95,308,24
PMC10924502,Diabetes Mellitus among Patients with Acute Ischemic Stroke Admitted t,en,235,9555,0,0.0,3758,3275,2226,4.292,40.8,True,74,4,104,243,31
PMC9297346,Diabetes Mellitus among Adult Outpatients Visiting a Tertiary Care Cen,en,198,9471,0,0.0,4145,3620,2266,4.18,45.3,True,55,19,111,223,15
PMC8500622,Risk factors for anemia in patients with chronic kidney disease: A pro,en,151,9815,0,0.0,3978,3414,2267,4.33,43.0,True,40,16,171,257,0
PMC5207586,Sudden death due to ventricular double rupture as a complication of in,en,127,9024,0,0.0,3983,3485,2271,3.974,43.0,True,28,49,178,517,0
PMC8137086,The effect of concomitant chronic kidney disease on the recurrence of ,en,160,9612,0,0.0,3913,3418,2272,4.231,41.9,True,45,10,183,240,0
PMC12778126,Thoracic splenosis initially misdiagnosed as lung neoplasms: An unusua,en,126,9063,0,0.0,3404,2902,2286,3.965,32.8,True,34,15,199,411,0
PMC5728893,Tonsillar metastasis of nonsmall cell lung cancer with G719S mutation ,en,135,9556,0,0.0,3624,3142,2341,4.082,35.4,True,36,52,162,239,0
PMC5728943,Endobronchial hamartoma mimicking malignant lung tumor contralateral e,en,130,8729,0,0.0,3336,2806,2360,3.699,29.3,True,33,36,178,541,0
PMC5369930,Giant hepatic metastasis in a patient with coin-like small cell lung c,en,127,9445,0,0.0,3527,3037,2411,3.917,31.6,True,32,33,197,270,0
PMC3207949,Mucoepidermoid carcinoma of the lung: a case report,en,101,9040,0,0.0,2883,2427,2427,3.725,15.8,False,24,20,333,564,0
PMC6741394,Primary Pulmonary Involvement in Mucosa-associated Lymphoid Tissue Lym,en,117,9620,0,0.0,4097,3518,2445,3.935,40.3,True,24,132,193,262,0
PMC4772370,Sudden death associated with silent myocardial infarction in a 35-year,en,149,9427,0,0.0,3367,2862,2448,3.851,27.3,True,44,18,125,419,7
PMC6300886,Heterogeneity of Alzheimer’s disease: consequence for drug trials?,en,134,11083,0,0.0,4088,3607,2549,4.348,37.6,True,37,10,213,307,0
PMC5301382,Early detection of myocardial infarction following blunt chest trauma ,en,162,10654,0,0.0,4223,3644,2600,4.098,38.4,True,46,10,135,637,0
PMC10579777,Dyslipidemia among Patients with Type 2 Diabetes Mellitus Visiting a T,en,284,10886,0,0.0,4168,3702,2646,4.114,36.5,True,90,5,98,190,52
PMC9107826,Silent Myocardial Infarction and Acute Multiorgan Failure in a COVID-1,en,114,10350,0,0.0,3882,3400,2708,3.822,30.2,True,27,54,258,335,0
PMC5406079,Risk factors and prognosis of pulmonary embolism in patients with lung,en,124,11819,0,0.0,3966,3512,2737,4.318,31.0,True,31,41,205,283,0
PMC3620691,Delayed ventricular septal rupture complicating acute inferior wall my,en,99,10449,0,0.0,3271,2785,2785,3.752,14.9,False,24,38,386,602,0
PMC11018926,Uniportal video-assisted thoracoscopic segmentectomy for fetal adenoca,en,150,11504,0,0.0,4952,4291,2870,4.008,42.0,True,33,62,241,335,0
PMC4169830,Recurrent hypoglycaemia in type-1 diabetes mellitus may unravel the as,en,149,11666,0,0.0,4335,3850,2893,4.032,33.3,True,42,14,192,337,0
PMC6824746,Paget disease of bone in an elderly patient with chronic renal disease,en,152,12184,0,0.0,4204,3618,2926,4.164,30.4,True,44,18,209,334,0
PMC12276399,A Novel CLTC::RPS6KB1 Fusion in a Poorly Differentiated Carcinoma Invo,en,135,11920,0,0.0,4658,4157,2997,3.977,35.7,True,29,81,210,299,10
PMC3607605,Increasing Trends of Diabetes Mellitus and Body Weight: A Ten Year Obs,en,198,12605,0,0.0,4866,4257,3018,4.177,38.0,True,49,50,141,282,21
PMC11485294,Insufficient evidence for an association between iatrogenic Alzheimer',en,141,12207,0,0.0,4219,3451,3028,4.031,28.2,True,26,119,275,367,10
PMC2888343,"Prevalence, Awareness, Treatment, and Control of Hypertension in Rural",en,189,11920,0,0.0,3962,3551,3109,3.834,21.5,True,47,17,216,239,44
PMC11044850,Risk of Long-Term Ischemic Stroke in Patients With Traumatic Brain Inj,en,204,12533,0,0.0,5426,4685,3133,4.0,42.3,True,23,160,228,474,25
PMC8213256,The use of cisplatin in patients after kidney transplantation with chr,en,156,12764,0,0.0,5183,4639,3157,4.043,39.1,True,38,19,223,818,0
PMC5571705,Two-portal versus three-port video-assist thoracoscopic surgery for ea,en,144,13192,0,0.0,4692,4180,3171,4.16,32.4,True,38,32,221,462,0
PMC5457896,Case report of 2 sudden deaths after surgery for bone fracture: Useful,en,131,12264,0,0.0,4181,3638,3198,3.835,23.5,True,33,51,334,464,0
PMC10089046,Occluded Coronary Artery among Non-ST Elevation Myocardial Infarction ,en,247,12437,0,0.0,5356,4816,3215,3.868,40.0,True,48,33,169,355,78
PMC7757917,Use of Intracoronary Thrombolysis for Huge Thrombus Burden in an Ectat,en,111,12912,0,0.0,4756,4353,3224,4.005,32.2,True,24,128,240,343,0
PMC6813084,The cost of lost productivity due to premature lung cancer-related mor,en,203,13864,0,0.0,5247,4769,3248,4.268,38.1,True,55,24,165,267,26
PMC9226727,Gestational Diabetes Mellitus among Pregnant Women Delivering in a Ter,en,199,13997,0,0.0,5331,4931,3333,4.2,37.5,True,48,17,186,459,34
PMC5457881,Atrial fibrillation was changed into sinus bradycardia in a ROS1-posit,en,126,13055,0,0.0,4911,4380,3362,3.883,31.5,True,29,55,424,486,0
PMC5266063,Weight loss before a diagnosis of type 2 diabetes mellitus is a risk f,en,167,14961,0,0.0,5410,4885,3444,4.344,36.3,True,38,81,193,508,0
PMC4667510,Transient Neonatal Diabetes Mellitus followed by recurrent asymptomati,en,136,14153,0,0.0,4412,3886,3546,3.991,19.6,True,39,59,204,504,0
PMC5457885,Marked response to nab-paclitaxel in EGFR mutated lung neuroendocrine ,en,146,13447,0,0.0,5757,5176,3548,3.79,38.4,True,33,29,371,511,0
PMC5228690,Bortezomib combined with lenalidomide as the first-line treatment for ,en,122,14086,0,0.0,5055,4511,3562,3.955,29.5,True,25,69,289,666,0
PMC7436637,Imminent risk of COVID-19 in diabetes mellitus and undiagnosed diabete,en,85,15451,0,0.0,4015,3588,3588,4.306,10.6,False,17,218,496,559,0
PMC9252224,End-Stage Renal Disease among Patients Undergoing Haemodialysis at a T,en,213,14083,0,0.0,5401,4859,3654,3.854,32.3,True,55,25,188,276,34
PMC6000097,Radiofrequency Ablation for Lung Neoplasms with Isolated Postsurgical ,zh,177,6993,3031,0.433,5939,5417,3675,1.903,38.1,True,49,28,215,366,0
PMC4422624,Reduced CSF Water Influx in Alzheimer’s Disease Supporting the β-Amylo,en,206,14616,0,0.0,6213,5549,3683,3.969,40.7,True,35,81,232,476,31
PMC6392978,Therapeutic efficacy of neuromuscular electrical stimulation and elect,en,179,15906,0,0.0,6188,5700,3727,4.268,39.8,True,46,55,191,244,0
PMC1395330,Left ventricular free wall impeding rupture in post-myocardial infarct,en,102,14805,0,0.0,4151,3728,3728,3.971,10.2,False,25,72,452,663,0
PMC5944517,Immunological markers as predictors of developing steroid-induced diab,en,208,15340,0,0.0,5400,4776,3728,4.115,31.0,True,65,42,135,289,0
PMC5738010,A case report of tongue metastasis from lung squamous cell carcinoma a,en,160,14242,0,0.0,5543,5035,3736,3.812,32.6,True,43,33,210,532,0
PMC5976344,Lung cancer screening CT-based coronary artery calcification in predic,en,208,15739,0,0.0,6157,5668,3738,4.211,39.3,True,65,13,151,461,0
PMC5313025,"Rapid intracranial response to osimertinib, without radiotherapy, in n",en,167,14946,0,0.0,6894,6273,3793,3.94,45.0,True,36,83,237,658,0
PMC4998775,Improving the Blood Pressure Control With the ProActive Attitude of Hy,en,187,17719,0,0.0,6556,6024,3802,4.66,42.0,True,47,56,198,350,0
PMC5999662,Stereotactic Body Radiaton Therapy for 15 Patients with Small Lung Neo,zh,195,7276,2916,0.401,5889,5378,3825,1.902,35.0,True,49,18,203,593,25
PMC4575702,The clinical pattern of renal diseases in the nephrology in-patient un,en,163,15312,0,0.0,5707,5166,3871,3.956,32.2,True,41,12,297,540,8
PMC5815792,Significant efficacy and well safety of apatinib combined with radioth,en,135,15368,0,0.0,5430,4943,3883,3.958,28.5,True,34,52,292,588,0
PMC4177929,Likelihood and Predictors of ST-Elevation in Patients Hospitalized for,en,214,15054,0,0.0,7933,7129,3893,3.867,50.9,True,46,32,267,304,20
PMC9155036,Delays in Presentation by Patients with ST Elevation Myocardial Infarc,en,201,17045,0,0.0,6391,5984,3921,4.347,38.6,True,39,50,247,361,46
PMC5708966,Responses to crizotinib and disease monitoring with circulating tumor ,en,156,15185,0,0.0,6258,5751,3967,3.828,36.6,True,37,59,298,432,0
PMC5485046,"Renal safety of canagliflozin, a sodium glucose co‐transporter 2 inhib",en,164,15485,0,0.0,6148,5439,3969,3.901,35.4,True,25,125,348,622,9
PMC5571687,Pemetrexed-carboplatin with intercalated icotinib in the treatment of ,en,162,15878,0,0.0,6153,5567,4010,3.96,34.8,True,41,63,203,640,0
PMC5402593,Comparative clinical implications of admission electrocardiographic fi,en,153,16579,0,0.0,5930,5411,4019,4.125,32.2,True,40,74,233,374,0
PMC6299491,Perceived family support among older persons in diabetes mellitus self,en,197,19246,0,0.0,5301,4720,4022,4.785,24.1,True,64,15,154,529,0
PMC6247241,Familial history of hypertension-induced impairment on heart rate vari,en,141,16428,0,0.0,5943,5429,4038,4.068,32.1,True,28,145,315,369,8
PMC5617704,The prognostic value of shock index for the outcomes of acute myocardi,en,211,16624,0,0.0,5790,5300,4041,4.114,30.2,True,69,40,145,253,0
PMC6392805,Effects of slow breathing rate on heart rate variability and arterial ,en,210,16477,0,0.0,6182,5693,4045,4.073,34.6,True,67,21,175,422,0
PMC4616658,Metachronous Primary Adenocarcinoma of Lung During Adjuvant Imatinib M,en,135,16425,0,0.0,6521,5903,4065,4.041,37.7,True,27,99,347,629,0
PMC11238481,Stereotactic body radiation therapy for multiple lung cancers in a pat,en,200,16490,0,0.0,6405,5525,4073,4.049,36.4,True,61,12,255,484,0
PMC4567586,A community-driven hypertension treatment group in rural Honduras,en,232,18279,0,0.0,5750,5232,4077,4.483,29.1,True,60,54,163,254,40
PMC10627647,The relationship between Alzheimer disease and thyroiditis: A two-samp,en,196,16831,0,0.0,7334,6838,4089,4.116,44.2,True,39,12,338,615,0
PMC11444230,The role of first-trimester systemic immune-inflammation index for the,en,170,16322,0,0.0,6026,5503,4119,3.963,31.6,True,41,79,220,258,14
PMC13452781,In-hospital outcomes among patients admitted for myocardial infarction,en,206,17326,0,0.0,7325,6727,4169,4.156,43.1,True,34,87,329,429,50
PMC5571721,Age threshold for moderate and severe periodontitis among Korean adult,en,178,18004,0,0.0,6894,6394,4174,4.313,39.5,True,39,96,251,283,0
PMC6076114,A case report of pediatric calciphylaxis–a rare and potentially fatal ,en,203,16969,0,0.0,6288,5754,4250,3.993,32.4,True,61,24,207,383,0
PMC7727236,Inverse association of diabetes and dialysis with the severity of femo,en,228,17460,0,0.0,7107,6200,4265,4.094,40.0,True,57,16,242,426,32
PMC5999988,Radiofrequency Ablation for the Treatment of Lung Neoplasms: A Retrosp,zh,231,8537,3521,0.412,5880,5359,4276,1.996,27.3,True,56,23,203,500,47
PMC7794905,Association between Gene Polymorphisms of Vitamin D Receptor and Gesta,en,270,18307,0,0.0,10386,9784,4282,4.275,58.8,True,36,72,324,749,0
PMC5403074,High expression of CD8 predicts favorable prognosis in patients with l,en,167,16918,0,0.0,6235,5661,4298,3.936,31.1,True,45,80,228,483,0
PMC4517989,Hearing Loss is Associated With Risk of Alzheimer’s Disease: A Case-Co,en,225,17952,0,0.0,7268,6657,4299,4.176,40.9,True,48,31,212,396,37
PMC4616386,Meta-analysis of Cholesteryl Ester Transfer Protein TaqIB Polymorphism,en,187,16221,0,0.0,7756,7192,4304,3.769,44.5,True,49,70,240,356,0
PMC7654398,SARS‐CoV‐2 infection associated acute kidney injury in patients with p,en,201,17059,0,0.0,6930,6288,4309,3.959,37.8,True,43,27,317,409,26
PMC4796473,Erectile Dysfunction Among Male Hypertensives in a Tertiary Health Fac,en,231,18023,0,0.0,6278,5854,4313,4.179,31.3,True,40,96,226,359,85
PMC5304385,Comparisons of serum miRNA expression profiles in patients with diabet,en,190,16198,0,0.0,6513,5979,4313,3.756,33.8,True,46,54,216,463,13
PMC6000574,Interpretation of IASLC/ATS/ERS International Multidisciplinary Classi,zh,165,6636,4624,0.697,6114,5718,4366,1.52,28.6,True,43,92,226,278,15
PMC9423753,The Diagnostic Dilemma of Ruptured Liver Metastasis in a Patient with ,en,127,17316,0,0.0,5885,5441,4386,3.948,25.5,True,25,149,329,706,7
PMC4554129,Brain Metabolism of Less-Educated Patients With Alzheimer Dementia Stu,en,155,18858,0,0.0,6691,6006,4398,4.288,34.3,True,37,77,270,542,0
PMC2999601,Three-dimension structure of ventricular myocardial fibers after myoca,en,148,17196,0,0.0,4771,4405,4405,3.904,7.7,False,46,36,210,1218,0
PMC5521921,Assessment of optic disc and ganglion cell layer in diabetes mellitus ,en,156,17676,0,0.0,6237,5764,4411,4.007,29.3,True,41,101,232,414,0
PMC10754314,Angiographic Predictors of Viability During Intervention for a ST Elev,en,217,17455,0,0.0,7185,6738,4418,3.951,38.5,True,43,79,280,380,51
PMC3262743,The Chinese version of the Myocardial Infarction Dimensional Assessmen,en,144,17882,0,0.0,4892,4426,4426,4.04,9.5,False,33,73,273,979,16
PMC3736467,Ambulatory Blood Pressure Monitoring in a Cohort of Children Referred ,en,120,19245,0,0.0,4851,4426,4426,4.348,8.8,False,24,136,336,975,15
PMC9446016,Hearing Loss in Patients with Diabetes Mellitus,en,259,18524,0,0.0,6237,5828,4440,4.172,28.8,True,74,48,118,246,39
PMC5794406,Prognostic impact of left ventricular mass change in patients with ST-,en,156,17484,0,0.0,6176,5639,4441,3.937,28.1,True,41,63,256,426,0
PMC5585474,Comparative assessment of the efficacy and safety of acarbose and metf,en,185,18023,0,0.0,6122,5500,4463,4.038,27.1,True,53,54,205,374,0
PMC12114311,Chronic Hepatitis E Virus Infection Without Liver Injury in a Patient ,en,196,18094,0,0.0,7863,7188,4466,4.052,43.2,True,39,77,301,435,29
PMC3912196,Autoantibody Profiling for Lung Cancer Screening Longitudinal Retrospe,en,179,18914,0,0.0,7166,6503,4507,4.197,37.1,True,28,140,344,419,36
PMC3083341,N-terminal-pro-brain natriuretic peptide is decreased in insulin depen,en,163,16786,0,0.0,5110,4551,4551,3.688,10.9,False,42,71,144,1577,10
PMC11219383,"Genetically Proxied Therapeutic Effect of Metformin Use, Blood Pressur",en,218,17542,0,0.0,6902,6181,4557,3.849,34.0,True,61,11,256,479,20
PMC4985413,Characterization of Benign Myocarditis Using Quantitative Delayed-Enha,en,166,16856,0,0.0,6576,5985,4569,3.689,30.5,True,47,92,190,464,0
PMC10659497,Cross-phenotype associations between Alzheimer’s Disease and its comor,en,227,17953,0,0.0,10663,10266,4574,3.925,57.1,True,39,103,269,366,0
PMC5457871,Evidence of elemene injection combined radiotherapy in lung cancer tre,en,236,20113,0,0.0,6802,6271,4582,4.39,32.6,True,73,18,185,365,0
PMC5880091,Can increased vigilance for chronic kidney disease in hospitalised pat,en,207,18637,0,0.0,7101,6632,4586,4.064,35.4,True,57,25,225,364,17
PMC12245100,Identification of risk factors in myocardial infarction with non-obstr,en,253,18111,0,0.0,6688,5981,4608,3.93,31.1,True,71,28,172,506,35
PMC5585497,Efficacy of nanoparticle albumin-bound paclitaxel regimens for relapse,en,198,18775,0,0.0,7164,6453,4609,4.074,35.7,True,52,59,195,340,0
PMC6171234,An open-label pilot study on preventing glucocorticoid-induced diabete,en,195,18224,0,0.0,6714,6178,4616,3.948,31.2,True,55,42,215,319,9
PMC2632987,Inter-practice variation in diagnosing hypertension and diabetes melli,en,204,21299,0,0.0,5920,5552,4643,4.587,21.6,True,58,65,174,340,19
PMC10065091,Depressive symptoms among older adults with diabetes mellitus: a cross,en,306,20531,0,0.0,8417,7593,4645,4.42,44.8,True,63,41,160,589,80
PMC6604195,Screening for chronic kidney disease in rural Malawi: results from a d,en,279,17877,0,0.0,7311,6786,4661,3.835,36.2,True,77,18,155,522,40
PMC3732752,Neuronal Autophagy: Self-eating or Self-cannibalism in Alzheimer’s Dis,en,126,18961,0,0.0,7858,7327,4667,4.063,40.6,True,17,170,661,821,0
PMC6683563,The longitudinal effect of subclinical hypothyroidism on urine microal,en,268,17124,0,0.0,7418,6880,4672,3.665,37.0,True,72,12,171,534,41
PMC6814951,Risk factors for hypertension among young adults (18-35) years attendi,en,254,18085,0,0.0,6305,5914,4675,3.868,25.9,True,45,33,351,627,103
PMC4616451,Adiponectin as a Protective Factor Against the Progression Toward Type,en,196,19363,0,0.0,7272,6622,4681,4.137,35.6,True,56,78,147,378,0
PMC5067668,Influence of age on androgen deprivation therapy-associated Alzheimer’,en,135,17189,0,0.0,5180,4682,4682,3.671,9.6,False,28,101,275,1353,14
PMC2649159,Recent developments in Alzheimer's disease therapeutics,en,164,18083,0,0.0,5011,4688,4688,3.857,6.4,False,53,21,197,1360,20
PMC5779336,"Lung Cancer Incidence Trends Among Men and Women — United States, 2005",en,203,17131,0,0.0,5587,5207,4689,3.653,16.1,True,40,34,240,1620,68
PMC12224910,Immunotherapy for hypertensive end-organ damage: a new therapeutic str,en,259,19390,0,0.0,13454,12810,4697,4.128,65.1,True,53,16,287,430,0
PMC9518626,Effect of vegetarian diets on renal function in patients with chronic ,en,173,18794,0,0.0,6924,6327,4718,3.983,31.9,True,42,83,230,1034,8
PMC5708934,Salvage chemoradiotherapy with cisplatin and vinorelbine for postopera,en,185,19529,0,0.0,7236,6639,4719,4.138,34.8,True,49,58,247,623,0
PMC4333880,A meta-analysis of prospective studies on the role of physical activit,en,180,20687,0,0.0,6971,6466,4721,4.382,32.3,True,43,66,245,697,20
PMC5059092,From biportal to uniportal video-assisted thoracoscopic anatomical lun,en,165,18650,0,0.0,7062,6376,4723,3.949,33.1,True,40,71,302,582,0
PMC3767941,Awareness of hypertension and factors associated with uncontrolled hyp,en,248,19977,0,0.0,7790,7391,4743,4.212,39.1,True,55,84,157,274,47
PMC2600791,Nephrotic syndrome and kidney failure due to immunocomplex-mediated re,en,131,18015,0,0.0,5231,4760,4760,3.785,9.0,False,35,77,292,1155,0
PMC9825023,A systematic review and meta-analysis of the association between sarco,en,288,20612,0,0.0,8353,7790,4762,4.328,43.0,True,90,10,180,341,13
PMC5706061,Impact of the delay to start treatment in patients with lung cancer tr,en,238,20135,0,0.0,6042,5595,4776,4.216,21.0,True,57,58,158,442,78
PMC4521845,Gout and Risk of Myocardial Infarction: A Systematic Review and Meta-A,en,276,19648,0,0.0,9498,8763,4784,4.107,49.6,True,58,47,222,402,10
PMC8152353,Longitudinal study of primary progressive aphasia in a patient with pa,en,255,19003,0,0.0,6257,5561,4787,3.97,23.5,True,77,12,210,498,45
PMC6054391,Body mass index ≥23 is a risk factor for insulin resistance and diabet,en,221,18638,0,0.0,8493,7333,4788,3.893,43.6,True,49,39,277,360,20
PMC8789717,Wearable cardioverter-defibrillators after myocardial infarction: a re,en,202,19235,0,0.0,8137,7353,4799,4.008,41.0,True,48,24,268,765,25
PMC5992231,Recent Findings in the Genetics of Blood Pressure: How to Apply in Pra,en,136,21079,0,0.0,6870,6382,4807,4.385,30.0,True,31,15,492,839,0
PMC9957054,"Association between Polymorphism of Genes IL-1A, NFKB1, PAR1, TP53, an",en,316,19017,0,0.0,12277,11618,4862,3.911,60.4,True,44,109,209,490,0
PMC6210689,Lack of Association of Coffee Consumption with the Prevalence of Self-,en,223,19445,0,0.0,9025,8114,4867,3.995,46.1,True,46,31,322,561,29
PMC3371754,Intelligent ZHENG Classification of Hypertension Depending on ML-kNN a,en,191,20308,0,0.0,5272,4878,4878,4.163,7.5,False,60,32,228,744,36
PMC5959434,Early tumor shrinkage served as a prognostic factor for patients with ,en,182,19584,0,0.0,7031,6513,4881,4.012,30.6,True,53,22,268,641,0
PMC3066207,Psoriasis and Hypertension Severity: Results from a Case-Control Study,en,263,20680,0,0.0,7283,6813,4912,4.21,32.6,True,48,62,220,544,82
PMC3721924,Relationship between Tei index of myocardial performance and left vent,en,217,18874,0,0.0,7174,6717,4917,3.839,31.5,True,48,108,188,449,45
PMC5999712,Survival after Radiofrequency Ablation for 100 Cases of Lung Neoplasms,zh,185,8627,4250,0.493,6639,6087,4918,1.754,25.9,True,51,51,235,421,9
PMC9608980,Polypharmacy in Older Adults with Alzheimer’s Disease,en,220,20331,0,0.0,12048,11592,4922,4.131,59.1,True,38,108,280,622,12
PMC4912299,Risk Factors for Long-Term Mortality and Progressive Chronic Kidney Di,en,174,19356,0,0.0,7203,6446,4928,3.928,31.6,True,46,35,292,628,0
PMC4753919,Small-Cell Lung Cancer Transformation in Patients With Pulmonary Adeno,en,123,20361,0,0.0,6741,6245,4930,4.13,26.9,True,26,62,685,957,0
PMC10185944,Myocardial infarction in a 33-year-old with inflammatory bowel disease,en,244,19451,0,0.0,6895,6304,4934,3.942,28.4,True,90,28,161,259,0
PMC5473552,Association of Alzhemier's disease with hepatitis C among patients wit,en,267,21067,0,0.0,10242,8760,4954,4.253,51.6,True,40,89,276,437,56
PMC11676660,Impact of the COVID-19 pandemic on lung cancer diagnosis in northern P,en,234,21211,0,0.0,7314,6375,4962,4.275,32.2,True,50,78,185,411,43
PMC8136679,Attitude towards diabetes mellitus among adult communities in Gondar c,en,326,21135,0,0.0,8225,7493,4982,4.242,39.4,True,72,42,155,453,70
PMC11112893,A comparison of oral bacteriome isolated from periodontal pockets of p,en,300,21479,0,0.0,8660,7952,5009,4.288,42.2,True,84,24,186,410,39
PMC8670729,Metabolic syndrome in hypertensive and non‐hypertensive subjects,en,275,19746,0,0.0,7552,6785,5023,3.931,33.5,True,72,27,186,445,39
PMC10081979,Identification of Chromatin Regulatory Factors Related to Immunity and,en,221,19940,0,0.0,9883,9381,5034,3.961,49.1,True,53,28,298,808,26
PMC10578575,ABO blood groups are not associated to gestational diabetes mellitus i,en,545,19755,0,0.0,13430,12325,5041,3.919,62.5,True,48,51,298,457,62
PMC4656957,Diabetes mellitus and renal involvement in chronic viral liver disease,en,132,21403,0,0.0,5511,5050,5050,4.238,8.4,False,33,84,375,1159,0
PMC5287973,Reactive oxygen species modulator 1 (Romo1) as a novel diagnostic mark,en,149,20742,0,0.0,6996,6455,5057,4.102,27.7,True,38,100,318,428,0
PMC7065699,Association between Bioactive Molecules in Breast Milk and Type 1 Diab,en,307,20708,0,0.0,11179,10768,5064,4.089,54.7,True,80,7,198,301,25
PMC11918843,Association between lipoprotein(a) and coronary heart disease risk in ,en,202,18754,0,0.0,7019,6493,5073,3.697,27.7,True,45,46,285,580,39
PMC10444873,A novel index for measuring the impact of devices on hypertension,en,252,21758,0,0.0,6585,5962,5082,4.281,22.8,True,82,41,158,357,23
PMC8430558,Self-Reported Diabetes Mellitus and Tooth Extraction Due to Periodonta,en,253,21620,0,0.0,7786,6958,5093,4.245,34.6,True,54,75,244,300,60
PMC5708951,Association between the number of natural teeth and diabetic retinopat,en,188,21426,0,0.0,7868,7182,5106,4.196,35.1,True,50,72,250,587,0
PMC13459720,Clinical profile of acute myocardial infarction: the Registry of Acute,en,245,21882,0,0.0,7226,6338,5115,4.278,29.2,True,70,41,172,408,23
PMC4602932,Impact of Admission Systolic Blood Pressure and Antecedent Hypertensio,en,160,21397,0,0.0,7512,6975,5138,4.164,31.6,True,40,59,412,458,0
PMC7137510,Relationship between body composition indicators and risk of type 2 di,en,289,19991,0,0.0,7656,6712,5145,3.886,32.8,True,70,15,215,313,53
PMC11210264,The association between diabetes mellitus and prostate cancer: a meta-,en,267,22032,0,0.0,8753,8241,5156,4.273,41.1,True,62,53,192,423,0
